Grupo,Equipo,Pts,GF,GC,DG,Posicion
A,México,9,4.7,1.25,3.45,1
A,Corea del Sur,4,3.05,2.8899999,0.15999997,2
A,Sudáfrica,2,1.89,4.05,-2.1599998,3
A,República Checa,1,3.25,4.7,-1.45,4
B,Suiza,7,6.86,3.15,3.71,1
B,Canadá,4,8.15,2.8600001,5.29,2
B,Catar,4,2.2,8.41,-6.21,3
B,Bosnia-Herzegovina,1,3.4099998,6.2,-2.79,4
C,Brasil,7,5.86,2.03,3.83,1
C,Marruecos,7,3.88,1.55,2.33,2
C,Escocia,3,2.03,2.8600001,-0.83000004,3
C,Haití,0,0.55,5.88,-5.33,4
D,EE. UU.,9,7.2799997,2.4,4.88,1
D,Australia,6,3.26,2.95,0.31,2
D,Paraguay,3,2.95,5.26,-2.31,3
D,Turquía,0,1.4,4.2799997,-2.88,4
E,Alemania,9,10.98,2.8,8.18,1
E,Costa de Marfil,6,3.99,2.58,1.4100001,2
E,Ecuador,1,0.8,2.98,-2.18,3
E,Curazao,1,1.5799999,8.99,-7.41,4
F,Países Bajos,7,8.52,3.92,4.6,1
F,Japón,7,7.41,3.26,4.15,2
F,Suecia,3,7.26,7.41,-0.14999998,3
F,Túnez,0,1.9200001,10.52,-8.6,4
G,Bélgica,5,3.28,1.61,1.67,1
G,Irán,5,3.25,2.97,0.27999997,2
G,Egipto,4,4.9700003,3.25,1.72,3
G,Nueva Zelanda,1,3.6100001,7.2799997,-3.67,4
H,España,7,5.79,0.85,4.94,1
H,Arabia Saudí,4,1.87,6.19,-4.32,2
H,Cabo Verde,2,3.19,2.87,0.32000005,3
H,Uruguay,2,3.85,4.79,-0.93999994,4
I,Francia,9,7.84,2.3899999,5.45,1
I,Senegal,6,4.7,4.51,0.18999994,2
I,Noruega,3,5.92,4.89,1.0300002,3
I,Irak,0,1.98,8.65,-6.67,4
J,Argentina,9,7.7,0.42,7.2799997,1
J,Austria,6,4.34,4.08,0.26,2
J,Argelia,3,3.0500002,5.03,-1.98,3
J,Jordania,0,2.1100001,7.67,-5.56,4
K,Portugal,7,5.7799997,2.73,3.0499997,1
K,Colombia,6,5.55,3.9299998,1.6200001,2
K,RD Congo,4,3.22,3.32,-0.099999964,3
K,Uzbekistán,0,2.5,7.07,-4.57,4
L,Inglaterra,9,8.29,3.08,5.21,1
L,Croacia,6,6.0099998,5.4,0.6099999,2
L,Ghana,3,2.26,3.85,-1.5900002,3
L,Panamá,0,1.22,5.45,-4.2299995,4
