Variable,Importancia
Prob_Implicita_ELO,0.13475387
diff_Puntos,0.13213775
Pred_Goles_L,0.10356725
diff_avg_Pases_Pct_5,0.080771275
diff_avg_Ptos_5,0.06393012
Pred_Goles_V,0.04832287
diff_avg_Remates_a_puerta_5,0.03762642
avg_Pases_Exitosos_5_Visitante,0.02921098
avg_Pases_Exitosos_5_Local,0.02824841
diff_Tier,0.024447093
avg_Tarjetas_amarillas_5_Local,0.024169313
avg_Pases_Pct_5_Local,0.023714129
Peso_Local,0.023061777
diff_avg_Córneres_5,0.02299754
Peso_Visitante,0.022604024
avg_Pases_Pct_total_Visitante,0.019396149
diff_avg_Tarjetas_amarillas_5,0.019336307
avg_Remates_a_puerta_5_Visitante,0.018977098
avg_Faltas_5_Visitante,0.018538592
avg_Paradas_5_Visitante,0.018536186
avg_Córneres_5_Visitante,0.017658915
diff_avg_Faltas_5,0.017356634
avg_Tarjetas_amarillas_5_Visitante,0.016679132
avg_Paradas_5_Local,0.015686914
avg_Córneres_5_Local,0.014977098
