,R32,Octavos,Cuartos,Semis,Final,Campeon
Francia,100.0,85.2,51.0,41.8,27.0,18.0
Argentina,100.0,84.3,65.1,47.2,29.1,15.4
España,100.0,70.2,50.6,35.5,21.6,12.9
Alemania,100.0,77.6,41.2,30.8,17.0,9.5
Inglaterra,100.0,73.9,42.1,28.8,16.2,8.6
Bélgica,90.4,70.9,45.9,25.1,11.8,5.6
Croacia,84.1,51.3,29.8,18.8,9.1,4.6
Portugal,90.9,59.6,31.7,16.8,8.9,4.5
Brasil,100.0,64.1,37.8,20.1,9.6,3.8
México,100.0,70.3,35.5,18.0,8.1,3.1
Costa de Marfil,98.5,67.2,34.3,14.6,6.6,2.7
Senegal,46.3,28.8,19.5,10.2,5.1,1.9
Países Bajos,100.0,58.1,35.8,11.0,4.4,1.9
Japón,100.0,41.4,21.7,7.5,3.0,1.2
Colombia,100.0,53.3,23.5,8.9,3.0,1.0
Irán,84.8,51.0,20.6,7.4,3.0,1.0
Suiza,100.0,55.1,25.9,8.3,2.9,0.8
Uruguay,45.1,22.1,10.4,4.6,1.8,0.6
Austria,99.9,33.8,12.2,4.8,1.7,0.6
EE. UU.,100.0,69.3,31.3,8.4,2.0,0.5
Marruecos,100.0,35.5,21.4,5.5,1.6,0.5
Canadá,100.0,61.0,22.6,4.2,1.4,0.3
Argelia,86.0,29.1,12.1,3.7,1.0,0.2
Noruega,100.0,35.1,10.3,3.0,0.8,0.2
Corea del Sur,95.1,34.0,12.7,3.8,0.9,0.2
Sudáfrica,100.0,39.0,14.2,2.2,0.6,0.1
Egipto,100.0,42.3,10.0,2.3,0.4,0.1
Australia,100.0,28.6,4.8,1.1,0.2,0.1
Bosnia-Herzegovina,100.0,18.8,4.5,1.0,0.2,0.1
Suecia,99.8,24.4,7.4,1.7,0.3,0.0
Cabo Verde,66.7,9.2,2.7,0.7,0.1,0.0
Escocia,13.3,3.4,1.5,0.2,0.1,0.0
RD Congo,45.8,8.5,2.5,0.6,0.0,0.0
Ghana,100.0,17.6,2.4,0.4,0.0,0.0
Paraguay,66.3,10.1,2.0,0.3,0.0,0.0
Ecuador,13.8,4.5,1.6,0.3,0.0,0.0
Panamá,6.9,1.2,0.3,0.1,0.0,0.0
Uzbekistán,12.4,2.6,0.3,0.1,0.0,0.0
Arabia Saudí,33.4,3.1,0.5,0.1,0.0,0.0
Nueva Zelanda,9.6,2.9,0.4,0.0,0.0,0.0
Curazao,10.4,1.5,0.2,0.0,0.0,0.0
Catar,0.0,0.0,0.0,0.0,0.0,0.0
Haití,0.0,0.0,0.0,0.0,0.0,0.0
Irak,0.3,0.0,0.0,0.0,0.0,0.0
Jordania,0.0,0.0,0.0,0.0,0.0,0.0
República Checa,0.0,0.0,0.0,0.0,0.0,0.0
Turquía,0.0,0.0,0.0,0.0,0.0,0.0
Túnez,0.0,0.0,0.0,0.0,0.0,0.0
